ID,Name,Definition,Synonyms,Xrefs,Is_Obsolete
DOID:10000,Visual cortex disorder due to neoplasm,,"""Disorder of visual cortex associated with neoplasm (disorder)"" EXACT [SNOMEDCT_2005_07_31:43727009]; ""Disorders of visual cortex associated with neoplasms"" EXACT [ICD9CM_2006:377.71]; ""Visual cortex disorder due to neoplasm (disorder)"" EXACT [SNOMEDCT_2005_07_31:194068002]",ICD9CM_1986:377.71; ICD9CM_1987:377.71; ICD9CM_1988:377.71; ICD9CM_1989:377.71; ICD9CM_1990:377.71; ICD9CM_1991:377.71; ICD9CM_1992:377.71; ICD9CM_1993:377.71; ICD9CM_1994:377.71; ICD9CM_1995:377.71; ICD9CM_1996:377.71; ICD9CM_1997:377.71; ICD9CM_1998:377.71; ICD9CM_1999:377.71; ICD9CM_2000:377.71; ICD9CM_2001:377.71; ICD9CM_2002:377.71; ICD9CM_2003:377.71; ICD9CM_2004:377.71; ICD9CM_2005:377.71; ICD9CM_2006:377.71; SNOMEDCT_2005_01_31:194068002; SNOMEDCT_2005_01_31:43727009; UMLS_CUI:C0155317; UMLS_ICD9CM_2005_AUI:A0274879; UMLS_ICD9CM_2006_AUI:A8345030; UMLS_SNOMEDCT_2005_01_31_AUI:A2962573; UMLS_SNOMEDCT_2005_01_31_AUI:A3082802; UMLS_SNOMEDCT_2005_01_31_AUI:A3400715; UMLS_SNOMEDCT_2005_01_31_AUI:A3782649; UMLS_ST:T047,False
DOID:10010,"Sexually Transmitted Diseases, Bacterial",,,MSH2005_2005_01_17:M0023404; MSH2006_2005_11_15:D015231; UMLS_CUI:C0036917; UMLS_MSH2005_2005_01_17_AUI:A0028828; UMLS_MSH2005_2005_01_17_AUI:A0028829; UMLS_MSH2005_2005_01_17_AUI:A0028848; UMLS_MSH2005_2005_01_17_AUI:A0028849; UMLS_MSH2005_2005_01_17_AUI:A0049644; UMLS_MSH2005_2005_01_17_AUI:A0049935; UMLS_MSH2005_2005_01_17_AUI:A0115970; UMLS_MSH2005_2005_01_17_AUI:A0115975; UMLS_MSH2005_2005_01_17_AUI:A0131897; UMLS_MSH2005_2005_01_17_AUI:A0131902; UMLS_ST:T047,False
DOID:10014,Polyglandular dysfunction and related disorders,,"""Polyglandular dysfunction AND/OR related disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:26572003]",ICD9CM_1986:258; ICD9CM_1987:258; ICD9CM_1988:258; ICD9CM_1989:258; ICD9CM_1990:258; ICD9CM_1991:258; ICD9CM_1992:258; ICD9CM_1993:258; ICD9CM_1994:258; ICD9CM_1995:258; ICD9CM_1996:258; ICD9CM_1997:258; ICD9CM_1998:258; ICD9CM_1999:258; ICD9CM_2000:258; ICD9CM_2001:258; ICD9CM_2002:258; ICD9CM_2003:258; ICD9CM_2004:258; ICD9CM_2005:258; ICD9CM_2006:258; SNOMEDCT_2005_01_31:26572003; UMLS_CUI:C0154218; UMLS_ICD9CM_2005_AUI:A0271716; UMLS_ICD9CM_2006_AUI:A8343957; UMLS_SNOMEDCT_2005_01_31_AUI:A3637563; UMLS_SNOMEDCT_2005_01_31_AUI:A3637564; UMLS_ST:T047,False
DOID:10028,"Bipolar affective disorder, depressed, mild degree",,,ICD9CM_1986:296.51; ICD9CM_1987:296.51; ICD9CM_1988:296.51; ICD9CM_1989:296.51; ICD9CM_1990:296.51; ICD9CM_1991:296.51; ICD9CM_1992:296.51; ICD9CM_1993:296.51; ICD9CM_1994:296.51; ICD9CM_1995:296.51; ICD9CM_1996:296.51; ICD9CM_1997:296.51; ICD9CM_1998:296.51; ICD9CM_1999:296.51; ICD9CM_2000:296.51; ICD9CM_2001:296.51; ICD9CM_2002:296.51; ICD9CM_2003:296.51; ICD9CM_2004:296.51; ICD9CM_2005:296.51; ICD9CM_2006:296.51; UMLS_CUI:C0154424; UMLS_ICD9CM_2005_AUI:A0272268; UMLS_ICD9CM_2006_AUI:A8344143; UMLS_ST:T048,False
DOID:10029,"Bipolar I disorder, most recent episode (or current) depressed",,,ICD9CM_1986:296.5; ICD9CM_1986:296.53; ICD9CM_1986:296.54; ICD9CM_1986:296.55; ICD9CM_1987:296.5; ICD9CM_1987:296.53; ICD9CM_1987:296.54; ICD9CM_1987:296.55; ICD9CM_1988:296.5; ICD9CM_1988:296.53; ICD9CM_1988:296.54; ICD9CM_1988:296.55; ICD9CM_1989:296.5; ICD9CM_1989:296.53; ICD9CM_1989:296.54; ICD9CM_1989:296.55; ICD9CM_1990:296.5; ICD9CM_1990:296.53; ICD9CM_1990:296.54; ICD9CM_1990:296.55; ICD9CM_1991:296.5; ICD9CM_1991:296.53; ICD9CM_1991:296.54; ICD9CM_1991:296.55; ICD9CM_1992:296.5; ICD9CM_1992:296.53; ICD9CM_1992:296.54; ICD9CM_1992:296.55; ICD9CM_1993:296.5; ICD9CM_1993:296.53; ICD9CM_1993:296.54; ICD9CM_1993:296.55; ICD9CM_1994:296.5; ICD9CM_1994:296.53; ICD9CM_1994:296.54; ICD9CM_1994:296.55; ICD9CM_1995:296.5; ICD9CM_1995:296.53; ICD9CM_1995:296.54; ICD9CM_1995:296.55; ICD9CM_1996:296.5; ICD9CM_1996:296.53; ICD9CM_1996:296.54; ICD9CM_1996:296.55; ICD9CM_1997:296.5; ICD9CM_1997:296.53; ICD9CM_1997:296.54; ICD9CM_1997:296.55; ICD9CM_1998:296.5; ICD9CM_1998:296.53; ICD9CM_1998:296.54; ICD9CM_1998:296.55; ICD9CM_1999:296.5; ICD9CM_1999:296.53; ICD9CM_1999:296.54; ICD9CM_1999:296.55; ICD9CM_2000:296.5; ICD9CM_2000:296.53; ICD9CM_2000:296.54; ICD9CM_2000:296.55; ICD9CM_2001:296.5; ICD9CM_2001:296.53; ICD9CM_2001:296.54; ICD9CM_2001:296.55; ICD9CM_2002:296.5; ICD9CM_2002:296.53; ICD9CM_2002:296.54; ICD9CM_2002:296.55; ICD9CM_2003:296.5; ICD9CM_2003:296.53; ICD9CM_2003:296.54; ICD9CM_2003:296.55; ICD9CM_2004:296.5; ICD9CM_2004:296.53; ICD9CM_2004:296.54; ICD9CM_2004:296.55; ICD9CM_2005:296.5; ICD9CM_2005:296.53; ICD9CM_2005:296.54; ICD9CM_2005:296.55; ICD9CM_2006:296.53; UMLS_CUI:C0154426; UMLS_CUI:C0154427; UMLS_CUI:C0154428; UMLS_CUI:C1456305; UMLS_ICD9CM_2005_AUI:A0272272; UMLS_ICD9CM_2005_AUI:A0272274; UMLS_ICD9CM_2005_AUI:A0272276; UMLS_ICD9CM_2005_AUI:A6995295; UMLS_ICD9CM_2006_AUI:A8344145; UMLS_ST:T048,False
DOID:1003,Pelvic Inflammatory Disease,,"""[X]Inflammatory diseases of female pelvic organs (disorder)"" EXACT [SNOMEDCT_2005_07_31:198570007]; ""Female pelvic infection"" EXACT [SNOMEDCT_2005_07_31:198178006]; ""Female pelvic inflammatory disease"" EXACT [SNOMEDCT_2005_07_31:155967009]; ""Female pelvic inflammatory disease"" EXACT [SNOMEDCT_2005_07_31:198131005]; ""Female pelvic inflammatory disease NOS"" EXACT [SNOMEDCT_2005_07_31:155986001]; ""Female pelvic inflammatory disease NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:198244005]; ""Female pelvic inflammatory diseases NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:266584000]; ""Inflam. dis.- pelvic"" EXACT [SNOMEDCT_2005_07_31:155968004]; ""Inflam. dis.- pelvic"" EXACT [SNOMEDCT_2005_07_31:266648001]; ""INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS"" EXACT [ICD9CM_2006:614-616.99]; ""Inflammatory disease of female pelvic organs AND/OR tissues"" EXACT [SNOMEDCT_2005_07_31:198130006]; ""Pelvic inflam. disease NOS"" EXACT [SNOMEDCT_2005_07_31:155974004]; ""Pelvic inflam. disease NOS"" EXACT [SNOMEDCT_2005_07_31:266651008]; ""PID"" EXACT [CSP2005:2587-6141]; ""PID"" EXACT [MTHICD9_2006:614.9]; ""Unspecified inflammatory disease of female pelvic organs and tissues"" EXACT [ICD9CM_2006:614.9]",GeneRIF:11947926; GeneRIF:15785934; ICD9CM_1986:614-616.99; ICD9CM_1986:614.9; ICD9CM_1987:614-616.99; ICD9CM_1987:614.9; ICD9CM_1988:614-616.99; ICD9CM_1988:614.9; ICD9CM_1989:614-616.99; ICD9CM_1989:614.9; ICD9CM_1990:614-616.99; ICD9CM_1990:614.9; ICD9CM_1991:614-616.99; ICD9CM_1991:614.9; ICD9CM_1992:614-616.99; ICD9CM_1992:614.9; ICD9CM_1993:614-616.99; ICD9CM_1993:614.9; ICD9CM_1994:614-616.99; ICD9CM_1994:614.9; ICD9CM_1995:614-616.99; ICD9CM_1995:614.9; ICD9CM_1996:614-616.99; ICD9CM_1996:614.9; ICD9CM_1997:614-616.99; ICD9CM_1997:614.9; ICD9CM_1998:614-616.99; ICD9CM_1998:614.9; ICD9CM_1999:614-616.99; ICD9CM_1999:614.9; ICD9CM_2000:614-616.99; ICD9CM_2000:614.9; ICD9CM_2001:614-616.99; ICD9CM_2001:614.9; ICD9CM_2002:614-616.99; ICD9CM_2002:614.9; ICD9CM_2003:614-616.99; ICD9CM_2003:614.9; ICD9CM_2004:614-616.99; ICD9CM_2004:614.9; ICD9CM_2005:614-616.99; ICD9CM_2005:614.9; ICD9CM_2006:614-616.99; ICD9CM_2006:614.9; MSH2005_2005_01_17:M0000460; MSH2006_2005_11_15:D000292; NCI2004_11_17:C3889; SNOMEDCT_2005_01_31:198130006; SNOMEDCT_2005_01_31:198244005; SNOMEDCT_2005_01_31:198570007; SNOMEDCT_2005_01_31:266584000; UMLS_CSP2004_AUI:A0443081; UMLS_CSP2004_AUI:A0486054; UMLS_CUI:C0242172; UMLS_ICD9CM_2005_AUI:A0242849; UMLS_ICD9CM_2005_AUI:A0720713; UMLS_ICD9CM_2006_AUI:A8341595; UMLS_ICD9CM_2006_AUI:A8359897; UMLS_MSH2005_2005_01_17_AUI:A0049831; UMLS_MSH2005_2005_01_17_AUI:A0050079; UMLS_MSH2005_2005_01_17_AUI:A0073783; UMLS_MSH2005_2005_01_17_AUI:A0073784; UMLS_MSH2005_2005_01_17_AUI:A0098562; UMLS_MSH2005_2005_01_17_AUI:A0098563; UMLS_MSH2005_2005_01_17_AUI:A0548878; UMLS_MSH2005_2005_01_17_AUI:A0548894; UMLS_MSH2005_2005_01_17_AUI:A0561369; UMLS_MSH2005_2005_01_17_AUI:A0561370; UMLS_MSH2005_2005_01_17_AUI:A0574639; UMLS_MSH2005_2005_01_17_AUI:A0574640; UMLS_MTHICD9_2005_AUI:A0443084; UMLS_MTHICD9_2005_AUI:A0445636; UMLS_NCI2004_11_17_AUI:A7572881; UMLS_SNOMEDCT_2005_01_31_AUI:A2940355; UMLS_SNOMEDCT_2005_01_31_AUI:A2941029; UMLS_SNOMEDCT_2005_01_31_AUI:A2964753; UMLS_SNOMEDCT_2005_01_31_AUI:A3021945; UMLS_SNOMEDCT_2005_01_31_AUI:A3021948; UMLS_SNOMEDCT_2005_01_31_AUI:A3021950; UMLS_SNOMEDCT_2005_01_31_AUI:A3086117; UMLS_SNOMEDCT_2005_01_31_AUI:A3314622; UMLS_SNOMEDCT_2005_01_31_AUI:A3453261; UMLS_SNOMEDCT_2005_01_31_AUI:A3453262; UMLS_SNOMEDCT_2005_01_31_AUI:A3453264; UMLS_SNOMEDCT_2005_01_31_AUI:A3513118; UMLS_SNOMEDCT_2005_01_31_AUI:A3796849; UMLS_ST:T047,False
DOID:10034,Disorder of accommodation,,"""Accommodation disorder NOS (disorder)"" EXACT [SNOMEDCT_2005_07_31:193631008]; ""Disorder of accommodation (disorder)"" EXACT [SNOMEDCT_2005_07_31:54552008]; ""Disorders of accommodation"" EXACT [ICD9CM_2006:367.5]",ICD9CM_1986:367.5; ICD9CM_1987:367.5; ICD9CM_1988:367.5; ICD9CM_1989:367.5; ICD9CM_1990:367.5; ICD9CM_1991:367.5; ICD9CM_1992:367.5; ICD9CM_1993:367.5; ICD9CM_1994:367.5; ICD9CM_1995:367.5; ICD9CM_1996:367.5; ICD9CM_1997:367.5; ICD9CM_1998:367.5; ICD9CM_1999:367.5; ICD9CM_2000:367.5; ICD9CM_2001:367.5; ICD9CM_2002:367.5; ICD9CM_2003:367.5; ICD9CM_2004:367.5; ICD9CM_2005:367.5; ICD9CM_2006:367.5; SNOMEDCT_2005_01_31:193631008; SNOMEDCT_2005_01_31:54552008; UMLS_CUI:C0152198; UMLS_ICD9CM_2005_AUI:A0273810; UMLS_ICD9CM_2006_AUI:A8344697; UMLS_SNOMEDCT_2005_01_31_AUI:A2890814; UMLS_SNOMEDCT_2005_01_31_AUI:A2987799; UMLS_SNOMEDCT_2005_01_31_AUI:A3399868; UMLS_SNOMEDCT_2005_01_31_AUI:A3423115; UMLS_ST:T047,False
DOID:1005,endometrial disorder,,"""Endometrial Disorder"" EXACT [NCI2004_11_17:C3504]",NCI2004_11_17:C3504; UMLS_CUI:C0151622; UMLS_NCI2004_11_17_AUI:A7584516; UMLS_NCI2004_11_17_AUI:A7594241; UMLS_ST:T047,False
DOID:10115,Tropical Diseases,,,NCI2004_11_17:C28356; UMLS_CUI:C1336827; UMLS_NCI2004_11_17_AUI:A7627339; UMLS_NCI2004_11_17_AUI:A7665181; UMLS_ST:T047,False
DOID:10119,Skin Disorder Arising from Mental Factor,,"""Skin disorder arising from mental factors"" EXACT [ICD9CM_2006:306.3]",ICD9CM_1986:306.3; ICD9CM_1987:306.3; ICD9CM_1988:306.3; ICD9CM_1989:306.3; ICD9CM_1990:306.3; ICD9CM_1991:306.3; ICD9CM_1992:306.3; ICD9CM_1993:306.3; ICD9CM_1994:306.3; ICD9CM_1995:306.3; ICD9CM_1996:306.3; ICD9CM_1997:306.3; ICD9CM_1998:306.3; ICD9CM_1999:306.3; ICD9CM_2000:306.3; ICD9CM_2001:306.3; ICD9CM_2002:306.3; ICD9CM_2003:306.3; ICD9CM_2004:306.3; ICD9CM_2005:306.3; ICD9CM_2006:306.3; NCI2004_11_17:C35188; UMLS_CUI:C0154551; UMLS_ICD9CM_2005_AUI:A0272549; UMLS_ICD9CM_2006_AUI:A8344261; UMLS_NCI2004_11_17_AUI:A7620312; UMLS_ST:T048,False
DOID:10120,Degenerative disorder of eyelid,,"""Degenerative disorder of eyelid (disorder)"" EXACT [SNOMEDCT_2005_07_31:1112003]; ""Degenerative disorder of eyelid, unspecified"" EXACT [ICD9CM_2006:374.50]; ""Unspecified eyelid degenerative disorder (disorder)"" EXACT [SNOMEDCT_2005_07_31:193957009]",ICD9CM_1986:374.50; ICD9CM_1987:374.50; ICD9CM_1988:374.50; ICD9CM_1989:374.50; ICD9CM_1990:374.50; ICD9CM_1991:374.50; ICD9CM_1992:374.50; ICD9CM_1993:374.50; ICD9CM_1994:374.50; ICD9CM_1995:374.50; ICD9CM_1996:374.50; ICD9CM_1997:374.50; ICD9CM_1998:374.50; ICD9CM_1999:374.50; ICD9CM_2000:374.50; ICD9CM_2001:374.50; ICD9CM_2002:374.50; ICD9CM_2003:374.50; ICD9CM_2004:374.50; ICD9CM_2005:374.50; ICD9CM_2006:374.50; SNOMEDCT_2005_01_31:1112003; SNOMEDCT_2005_01_31:193957009; UMLS_CUI:C0155209; UMLS_ICD9CM_2005_AUI:A0684983; UMLS_ICD9CM_2006_AUI:A8359058; UMLS_SNOMEDCT_2005_01_31_AUI:A2892630; UMLS_SNOMEDCT_2005_01_31_AUI:A3081067; UMLS_SNOMEDCT_2005_01_31_AUI:A3387015; UMLS_SNOMEDCT_2005_01_31_AUI:A3772146; UMLS_ST:T047,False
DOID:10121,Degenerative disorders of eyelid and periocular area,,,ICD9CM_1986:374.5; ICD9CM_1986:374.56; ICD9CM_1987:374.5; ICD9CM_1987:374.56; ICD9CM_1988:374.5; ICD9CM_1988:374.56; ICD9CM_1989:374.5; ICD9CM_1989:374.56; ICD9CM_1990:374.5; ICD9CM_1990:374.56; ICD9CM_1991:374.5; ICD9CM_1991:374.56; ICD9CM_1992:374.5; ICD9CM_1992:374.56; ICD9CM_1993:374.5; ICD9CM_1993:374.56; ICD9CM_1994:374.5; ICD9CM_1994:374.56; ICD9CM_1995:374.5; ICD9CM_1995:374.56; ICD9CM_1996:374.5; ICD9CM_1996:374.56; ICD9CM_1997:374.5; ICD9CM_1997:374.56; ICD9CM_1998:374.5; ICD9CM_1998:374.56; ICD9CM_1999:374.5; ICD9CM_1999:374.56; ICD9CM_2000:374.5; ICD9CM_2000:374.56; ICD9CM_2001:374.5; ICD9CM_2001:374.56; ICD9CM_2002:374.5; ICD9CM_2002:374.56; ICD9CM_2003:374.5; ICD9CM_2003:374.56; ICD9CM_2004:374.5; ICD9CM_2004:374.56; ICD9CM_2005:374.5; ICD9CM_2005:374.56; ICD9CM_2006:374.56; SNOMEDCT_2005_01_31:193956000; SNOMEDCT_2005_01_31:193961003; UMLS_CUI:C0155208; UMLS_CUI:C0155215; UMLS_ICD9CM_2005_AUI:A0274495; UMLS_ICD9CM_2005_AUI:A0274518; UMLS_ICD9CM_2006_AUI:A8344922; UMLS_SNOMEDCT_2005_01_31_AUI:A3013544; UMLS_SNOMEDCT_2005_01_31_AUI:A3251578; UMLS_SNOMEDCT_2005_01_31_AUI:A3387029; UMLS_SNOMEDCT_2005_01_31_AUI:A3387030; UMLS_ST:T046; UMLS_ST:T047,False
DOID:10123,Pigmentation Disorders,,,GeneRIF:15551350; ICD9CM_1986:709.0; ICD9CM_1987:709.0; ICD9CM_1988:709.0; ICD9CM_1989:709.0; ICD9CM_1990:709.0; ICD9CM_1991:709.0; ICD9CM_1992:709.0; ICD9CM_1993:709.0; ICD9CM_1994:709.0; ICD9CM_1994:709.00; ICD9CM_1994:709.09; ICD9CM_1995:709.0; ICD9CM_1995:709.00; ICD9CM_1995:709.09; ICD9CM_1996:709.0; ICD9CM_1996:709.00; ICD9CM_1996:709.09; ICD9CM_1997:709.0; ICD9CM_1997:709.00; ICD9CM_1997:709.09; ICD9CM_1998:709.0; ICD9CM_1998:709.00; ICD9CM_1998:709.09; ICD9CM_1999:709.0; ICD9CM_1999:709.00; ICD9CM_1999:709.09; ICD9CM_2000:709.0; ICD9CM_2000:709.00; ICD9CM_2000:709.09; ICD9CM_2001:709.0; ICD9CM_2001:709.00; ICD9CM_2001:709.09; ICD9CM_2002:709.0; ICD9CM_2002:709.00; ICD9CM_2002:709.09; ICD9CM_2003:709.0; ICD9CM_2003:709.00; ICD9CM_2003:709.09; ICD9CM_2004:709.0; ICD9CM_2004:709.00; ICD9CM_2004:709.09; ICD9CM_2005:709.0; ICD9CM_2005:709.00; ICD9CM_2005:709.09; ICD9CM_2006:709.0; ICD9CM_2006:709.00; MSH2005_2005_01_17:M0016852; NCI2004_11_17:C34557; SNOMEDCT_2005_01_31:201273003; SNOMEDCT_2005_01_31:201293006; SNOMEDCT_2005_01_31:414032001; SNOMEDCT_2005_01_31:46690002; SNOMEDCT_2005_01_31:79644001; UMLS_CSP2004_AUI:A0486613; UMLS_CUI:C0375489; UMLS_CUI:C0549567; UMLS_ICD9CM_2005_AUI:A0243207; UMLS_ICD9CM_2005_AUI:A0691217; UMLS_ICD9CM_2005_AUI:A0761019; UMLS_ICD9CM_2006_AUI:A8341712; UMLS_ICD9CM_2006_AUI:A8359299; UMLS_MSH2005_2005_01_17_AUI:A0050274; UMLS_MSH2005_2005_01_17_AUI:A0050344; UMLS_MSH2005_2005_01_17_AUI:A0101598; UMLS_MSH2005_2005_01_17_AUI:A0101600; UMLS_NCI2004_11_17_AUI:A7620357; UMLS_SNOMEDCT_2005_01_31_AUI:A2889623; UMLS_SNOMEDCT_2005_01_31_AUI:A2889624; UMLS_SNOMEDCT_2005_01_31_AUI:A3016973; UMLS_SNOMEDCT_2005_01_31_AUI:A3058067; UMLS_SNOMEDCT_2005_01_31_AUI:A3159289; UMLS_SNOMEDCT_2005_01_31_AUI:A3400565; UMLS_SNOMEDCT_2005_01_31_AUI:A3400566; UMLS_SNOMEDCT_2005_01_31_AUI:A3408076; UMLS_SNOMEDCT_2005_01_31_AUI:A3408077; UMLS_SNOMEDCT_2005_01_31_AUI:A3630509; UMLS_SNOMEDCT_2005_01_31_AUI:A3707984; UMLS_SNOMEDCT_2005_01_31_AUI:A7876909; UMLS_SNOMEDCT_2005_01_31_AUI:A7876910; UMLS_ST:T047,False
