Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,Definition Chinese,Definition English,Definition Japanese,Definition Korean,http://data.bioontology.org/metadata/prefixIRI,Original Code,Original Source,Title Chinese,Title English,Title Japanese,Title Korean
http://who.int/ictm/signsAndSymptoms#TM529512,loss of blood / 失血; 奪血,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a general term for various kinds of profuse bleeding, the same as hemorrhage",,,TM529512,2.3.101,IST WPRO,失血; 奪血,loss of blood,,
http://who.int/ictm/signsAndSymptoms#TM529514,loss of vitality / 失神,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"the general state marked by indifference, low spirit and impaired mental and physical functions with sluggish and inappropriate responses, indicating the existence of a serious pathological condition",,,TM529514,2.1.4,IST WPRO,失神,loss of vitality,,
http://who.int/ictm/signsAndSymptoms#TM529516,lower abdominal contracture / 小腹拘急; 小腹弦急,,,false,,,http://www.w3.org/2002/07/owl#Thing,,cramping sensation of the lower abdomen,,,TM529516,2.3.161,IST WPRO,小腹拘急; 小腹弦急,lower abdominal contracture,,
http://who.int/ictm/signsAndSymptoms#TM529510,Leukorrhea / 带下,,,false,,,http://www.w3.org/2002/07/owl#Thing,妇女阴道分泌物明显增多，色、质、气味异常的症状。寒湿或湿热下注，或热毒浸淫，或脾肾阳气亏虚等常可见带下异常。带下一般见于女阴局部感染邪毒，或胞宫等的病变，最常见于带下病。但身体虚弱或痰湿内盛者亦可见带下量多。,"It refers to increased vaginal discharge with abnormal color, texture and smell. It is caused by cold dampness or downward flow of dampness heat, or exuberance of heat toxin, or deficiency of yang qi in the spleen and kidney. It can be seen in vulva infection or uterine disease, especially in leukorrhagia. It can also be seen in patients with debility or exuberance of phlegm dampness.",,,TM529510,22.4,GB97,带下,Leukorrhea,,
http://who.int/ictm/signsAndSymptoms#TM529513,loss of smell / 鼻不聞香臭,,,false,,,http://www.w3.org/2002/07/owl#Thing,,partial or total inability to smell,,,TM529513,2.3.114,IST WPRO,鼻不聞香臭,loss of smell,,
http://who.int/ictm/signsAndSymptoms#TM529517,lower abdominal cramp / 小腹急結,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"subjective sensation of distention and fullness of the lower abdomen, usually with difficult urination ",,,TM529517,2.3.160,IST WPRO,小腹急結,lower abdominal cramp,,
http://who.int/ictm/signsAndSymptoms#TM529519,lower abdominal numbness / 小腹不仁,,,false,,,http://www.w3.org/2002/07/owl#Thing,,loss of sensation in the lower abdominal region,,,TM529519,2.3.163,IST WPRO,小腹不仁,lower abdominal numbness,,
http://who.int/ictm/signsAndSymptoms#TM529518,lower abdominal fullness / 小腹滿; 小腹硬滿,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a subjective feeling of fullness in the lower abdomen,,,TM529518,2.3.162,IST WPRO,小腹滿; 小腹硬滿,lower abdominal fullness,,
http://who.int/ictm/signsAndSymptoms#TM529511,limp wilting tongue / 痿軟舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a tongue that is flabby and cannot move easily,,,TM529511,2.1.69,IST WPRO,痿軟舌,limp wilting tongue,,
http://who.int/ictm/signsAndSymptoms#TM529515,lower abdominal colic / 疝 ,,,false,,,http://www.w3.org/2002/07/owl#Thing,,severe colicky pain in the lower abdomen usually accompanied by constipation and ischuria,,,TM529515,2.3.68,IST WPRO,疝 ,lower abdominal colic,,
http://who.int/ictm/signsAndSymptoms#TM529364,aversion to cold with fever / 惡寒發熱; 發熱惡寒 / 오한발열;발열오한,,,false,,,http://www.w3.org/2002/07/owl#Thing,,simultaneous appearance of aversion to cold together with fever,,,TM529364,2.3.9,IST WPRO,惡寒發熱; 發熱惡寒,aversion to cold with fever,,오한발열;발열오한
http://who.int/ictm/signsAndSymptoms#TM529365,aversion to heat / 惡熱 / 오열,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"strong dislike of heat, also known as heat intolerance",,,TM529365,2.3.7,IST WPRO,惡熱,aversion to heat,,오열
http://who.int/ictm/signsAndSymptoms#TM529363,aversion to cold / 惡寒 / 오한,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"sensation of cold which cannot be relieved by warmth, also known as chills",,,TM529363,2.3.4,IST WPRO,惡寒,aversion to cold,,오한
http://who.int/ictm/signsAndSymptoms#TM529366,aversion to wind / 惡風 / 오풍,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"strong dislike of wind, also known as wind intolerance ",,,TM529366,2.3.6,IST WPRO,惡風,aversion to wind,,오풍
http://who.int/ictm/signsAndSymptoms#TM529361,Ascites / 腹水 / 복수,,,false,,,http://www.w3.org/2002/07/owl#Thing,水停腹腔所表现的征象。多由气滞、血瘀、脾虚失运、湿热蕴结等原因所致。常见于鼓胀、腹腔内癥积、痨等疾病中。,"It refers to retention of water in the abdominal cavity, usually caused by qi stagnation, blood stasis, spleen deficiency with dysfunction in transportation, and accumulation of dampness heat. It can be seen in diseases such as tympanites, abdominal mass and tuberculosis.",,,TM529361,22.33,GB97,腹水,Ascites,,복수
http://who.int/ictm/signsAndSymptoms#TM529362,astringent taste in the mouth / 口澁 / 구삽,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a subjective feeling of astringency in the mouth,,,TM529362,2.3.124,IST WPRO,口澁,astringent taste in the mouth,,구삽
http://who.int/ictm/signsAndSymptoms#TM529369,benign complexion / 善色 / 선색,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"bright and lustrous complexion indicating a favorable prognosis, also the same as healthy complexion",,,TM529369,2.1.25,IST WPRO,善色,benign complexion,,선색
http://who.int/ictm/signsAndSymptoms#TM529367,back pain / 背痛 / 배통,,,false,,,http://www.w3.org/2002/07/owl#Thing,,pain in the upper part of the back,,,TM529367,2.3.69,IST WPRO,背痛,back pain,,배통
http://who.int/ictm/signsAndSymptoms#TM529368,belching / 噯氣; 噫氣 / 애기;희기,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"the casting up of gas from the stomach, accompanied by a prolonged sound",,,TM529368,2.3.139,IST WPRO,噯氣; 噫氣,belching,,애기;희기
http://who.int/ictm/signsAndSymptoms#TM529360,Arthralgia / 关节痛 / 관절통,,,false,,,http://www.w3.org/2002/07/owl#Thing,自觉关节疼痛的症状。多因外力损伤骨与关节，或风寒湿热等邪侵及关节，经气不利，关节阻痹所致。常见于关节脱位及骨损伤、肢体痹病类疾病，以及流痰等病中。,"It refers to subjective feeling of pain of the joints, usually caused by joint injuries due to exterior force, or invasion of wind cold and dampness heat into the joints, resulting in blockage of meridian qi and joints. It can be seen in dislocation of joints, bone injury, impediment or multiple abscesses of limbs.",,,TM529360,22.44,GB97,关节痛,Arthralgia,,관절통
http://who.int/ictm/signsAndSymptoms#TM529563,poor libido / 性欲淡漠,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"lack of desire for sexual gratification, the same as low libido",,,TM529563,2.3.202,IST WPRO,性欲淡漠,poor libido,,
http://who.int/ictm/signsAndSymptoms#TM529560,peeling fur / 剝苔; 舌苔脫落,,,false,,,http://www.w3.org/2002/07/owl#Thing,,complete or partial peeling of the tongue coating,,,TM529560,2.1.98,IST WPRO,剝苔; 舌苔脫落,peeling fur,,
http://who.int/ictm/signsAndSymptoms#TM529561,persistent pain / 持續痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,,pain continuing without interruption,,,TM529561,2.3.90,IST WPRO,持續痛,persistent pain,,
http://who.int/ictm/signsAndSymptoms#TM529569,protruded agitated tongue / 吐弄舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a pathological condition in which the tongue hangs out of the mouth and moves in a circular motion whereby the tip is extended from and retracted back into the mouth, or licks the lips ",,,TM529569,2.1.73,IST WPRO,吐弄舌,protruded agitated tongue,,
http://who.int/ictm/signsAndSymptoms#TM529566,profuse dreaming / 多夢,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a condition in which sleep is frequently disturbed by dreams,,,TM529566,2.3.54,IST WPRO,多夢,profuse dreaming,,
http://who.int/ictm/signsAndSymptoms#TM529562,pitting edema / 胕腫,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"edema associated with pitting of the skin, which resolves only slowly, usually occurring on the instep",,,TM529562,2.1.28,IST WPRO,胕腫,pitting edema,,
http://who.int/ictm/signsAndSymptoms#TM529567,profuse sweating / 多汗; 大汗,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"excessive sweating not related to a hot environment, physical exertion or taking diaphoretics",,,TM529567,2.3.32,IST WPRO,多汗; 大汗,profuse sweating,,
http://who.int/ictm/signsAndSymptoms#TM529568,protracted tongue / 舌縱,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a tongue that is habitually extended out of the mouth and cannot be retracted,,,TM529568,2.1.74,IST WPRO,舌縱,protracted tongue,,
http://who.int/ictm/signsAndSymptoms#TM529564,presence of vitality / 得神,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"the general state marked by high spirit and mental and physical exuberance with prompt and appropriate responses, indicating that the healthy qi is not damaged and improvement from a pathological condition can be expected",,,TM529564,2.1.3,IST WPRO,得神,presence of vitality,,
http://who.int/ictm/signsAndSymptoms#TM529565,prickly tongue / 芒刺舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a tongue with thorn-like protrusions on its surface,,,TM529565,2.1.61,IST WPRO,芒刺舌,prickly tongue,,
http://who.int/ictm/signsAndSymptoms#TM529347,abdominal fullness / 腹滿 / 복만,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a subjective feeling of fullness in the abdomen without pronounced visible or palpable expansion,,,TM529347,2.3.159,IST WPRO,腹滿,abdominal fullness,,복만
http://who.int/ictm/signsAndSymptoms#TM529348,Abdominal mass / 癥积 / 징적,,,false,,,http://www.w3.org/2002/07/owl#Thing,触及腹腔内有形可征的包块，以往称为积聚、癥瘕。一般为有形之邪搏结，如血瘀、虫积、食积、燥屎、痰凝等而成。其常见疾病有腹内癌瘤、石瘕、肠覃、肝积、肥气、肠结、肠痈、食瘕、伏梁、蛔虫病等。,"It refers to presence of substantial mass in the abdominal cavity, usually caused by binding of pathogenic factors, such as blood stasis, parasitic infestation, dry feces and phlegm stagnation. It can be seen in diseases such as cancer, tumor, ovarian cyst, liver accumulation, intestinal obstruction, intestinal abscess, abdominal mass due to dyspepsia and ascariasis.",,,TM529348,22.34,GB97,癥积,Abdominal mass,,징적
http://who.int/ictm/signsAndSymptoms#TM529349,abdominal pain / 腹痛 / 복통,,,false,,,http://www.w3.org/2002/07/owl#Thing,胃脘与季肋以下，耻骨毛际以上的腹部发生疼痛的症状,pain in the region between the hypochondrium and pubic hairline,,,TM529349,2.3.67 AND 22.32,IST WPRO and GB 97,腹痛,abdominal pain,,복통
http://who.int/ictm/signsAndSymptoms#TM529504,kyakusho secondary (auxiliary) symptoms / 客証,,,false,,,http://www.w3.org/2002/07/owl#Thing,,guest confrontation,,,TM529504,,JSOM,,kyakusho secondary (auxiliary) symptoms,客証,
http://who.int/ictm/signsAndSymptoms#TM529501,Jaundice / 黄疸,,,false,,,http://www.w3.org/2002/07/owl#Thing,以白睛、皮肤粘膜及小便发黄为特征的一组症状。多因外感湿热、疫毒，内伤酒食，或脾虚湿困，血瘀气滞等所致。一般按病之新久缓急与黄色的明暗等分为阳黄与阴黄。黄疸为肝胆病变的常见症状，胰的病变，大量血液损害，稻瘟病等亦可出现黄疸。凡以黄疸为主要表现的疾病，可归纳为黄疸病类。,"It refers to yellow coloration of the conjunctival membranes over the sclerae (whites of the eyes), skin and urine. It is usually caused by attack of dampness heat, pestilential toxin, interior injury due to drinking of alcohol or improper diet, or dampness encumbrance due to spleen deficiency, blood stasis and qi stagnation. It can be divided into yang jaundice and yin jaundice according to progress, onset and coloration of the disease. Jaundice is the commonly seen symptom in diseases of liver, gallbladder and pancreas as well as severe disorders of blood and rice epidemic disease. In clinical practice, all diseases with manifestations of jaundice pertain to the category of jaundice.",,,TM529501,22.31,GB97,黄疸,Jaundice,,
http://who.int/ictm/signsAndSymptoms#TM529506,lack of vitality / 少神,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"the general state marked by indifference, listlessness and low spirit",,,TM529506,2.1.5,IST WPRO,少神,lack of vitality,,
http://who.int/ictm/signsAndSymptoms#TM529502,kagyaku / 火逆,,,false,,,http://www.w3.org/2002/07/owl#Thing,,symptoms induced by inappropriate pyropuncture; fever flush,,,TM529502,,JSOM,,kagyaku,火逆,
http://who.int/ictm/signsAndSymptoms#TM529500,itchy eyes / 目癢,,,false,,,http://www.w3.org/2002/07/owl#Thing,,itching of the eye,,,TM529500,2.3.106,IST WPRO,目癢,itchy eyes,,
http://who.int/ictm/signsAndSymptoms#TM529507,lassitude of spirit / 神疲,,,false,,,http://www.w3.org/2002/07/owl#Thing,,lack of mental vigor,,,TM529507,2.3.50,IST WPRO,神疲,lassitude of spirit,,
http://who.int/ictm/signsAndSymptoms#TM529505,lack of strength / 乏力,,,false,,,http://www.w3.org/2002/07/owl#Thing,,lack of physical strength,,,TM529505,2.3.51,IST WPRO,乏力,lack of strength,,
http://who.int/ictm/signsAndSymptoms#TM529508,late afternoon tidal fever / 日晡潮熱,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"fever more marked at 3-5 p.m. daily, as if the tide comes regularly ",,,TM529508,2.3.15,IST WPRO,日晡潮熱,late afternoon tidal fever,,
http://who.int/ictm/signsAndSymptoms#TM529509,leaking sweat / 漏汗,,,false,,,http://www.w3.org/2002/07/owl#Thing,,incessant sweating,,,TM529509,2.3.45,IST WPRO,漏汗,leaking sweat,,
http://who.int/ictm/signsAndSymptoms#TM529503,kakuran / 霍乱,,,false,,,http://www.w3.org/2002/07/owl#Thing,,severe diarrhea such as in cholera,,,TM529503,,JSOM,,kakuran,霍乱,
http://who.int/ictm/signsAndSymptoms#TM529385,bright pale complexion / 面色晄白 / 면색광백,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a white complexion with puffiness, often seen in cases of yang deficiency",,,TM529385,2.1.15,IST WPRO,面色晄白,bright pale complexion,,면색광백
http://who.int/ictm/signsAndSymptoms#TM529388,choke / 噎,,,false,,,http://www.w3.org/2002/07/owl#Thing,,difficulty in swallowing,,,TM529388,2.3.129,IST WPRO,噎,choke,,
http://who.int/ictm/signsAndSymptoms#TM529386,chest pain / 胸痛 / 복통,,,false,,,http://www.w3.org/2002/07/owl#Thing,自觉胸部疼痛的症状。广义胸痛的范围包括心痛及胁痛在内。可因外伤、火热内灼、痰饮内阻、气滞血瘀等所致。肺、心、胸膈的多种疾病如胸痹心痛、肺痈、肺热病、悬饮、气胸、百日咳、肺癌、胸部损伤等皆可见胸痛。,"Pain in the middle or lateral part of the chest. It may be caused by traumatic injury, interior scorching of fire and heat, interior obstruction of phlegm fluid, and blood stasis due to qi stagnation. It can be seen in diseases of lung, heart, chest and diaphragm, such as chest impediment with heart pain, lung abscess, lung heat disease, thoracic retention of fluid, pneumothorax, whooping cough, lung cancer and chest injury.",,,TM529386,2.3.63 AND 22.21,IST WPRO and GB 97,胸痛,chest pain,,복통
http://who.int/ictm/signsAndSymptoms#TM529380,bluish purple tongue / 靑紫舌 / 청자설,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a cyanotic tongue, indicating blood stasis or heat toxin in the nutrient-blood",,,TM529380,2.1.55,IST WPRO,靑紫舌,bluish purple tongue,,청자설
http://who.int/ictm/signsAndSymptoms#TM529389,clear-food diarrhea / 下利淸穀; 完穀下利,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"frequent discharge of fluid stools containing undigested food, the same as undigested food diarrhea",,,TM529389,2.3.174,IST WPRO,下利淸穀; 完穀下利,clear-food diarrhea,,
http://who.int/ictm/signsAndSymptoms#TM529382,bone-steaming fever / 骨蒸熱 / 골증열,,,false,,,http://www.w3.org/2002/07/owl#Thing,,fever which is felt to emanate from the bone or marrow,,,TM529382,2.3.20,IST WPRO,骨蒸熱,bone-steaming fever,,골증열
http://who.int/ictm/signsAndSymptoms#TM529383,bone-steaming tidal fever / 骨蒸潮熱 / 골증조열,,,false,,,http://www.w3.org/2002/07/owl#Thing,,tidal fever in which the heat is felt to emanate from the bones,,,TM529383,2.3.21,IST WPRO,骨蒸潮熱,bone-steaming tidal fever,,골증조열
http://who.int/ictm/signsAndSymptoms#TM529384,breast pain / 乳房疼痛 / 유방동통,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"pain in the breast, usually accompanied by feeling of distension",,,TM529384,2.3.64,IST WPRO,乳房疼痛,breast pain,,유방동통
http://who.int/ictm/signsAndSymptoms#TM529381,blurred vision / 目昏; 視物模糊; 視瞻昏渺 / 목혼;시물모호;시첨혼묘,,,false,,,http://www.w3.org/2002/07/owl#Thing,,clouded and unclear vision,,,TM529381,2.3.109,IST WPRO,目昏; 視物模糊; 視瞻昏渺,blurred vision,,목혼;시물모호;시첨혼묘
http://who.int/ictm/signsAndSymptoms#TM529387,chills without fever / 但寒不熱,,,false,,,http://www.w3.org/2002/07/owl#Thing,,feeling of cold with no fever,,,TM529387,2.3.11,IST WPRO,但寒不熱,chills without fever,,
http://who.int/ictm/signsAndSymptoms#TM529401,crimson tongue / 絳舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a tongue deep red in color, indicating intense heat",,,TM529401,2.1.56,IST WPRO,絳舌,crimson tongue,,
http://who.int/ictm/signsAndSymptoms#TM529404,curled tongue and retracted testicles / 舌卷囊縮,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"the forming of the tongue into a curl and the withdrawing of the testicles into the body, seen in critical cases",,,TM529404,2.1.102,IST WPRO,舌卷囊縮,curled tongue and retracted testicles,,
http://who.int/ictm/signsAndSymptoms#TM529400,Cough / 咳嗽,,,false,,,http://www.w3.org/2002/07/owl#Thing,从肺经喉发出“咳、咳”有声的症状。多因六淫外邪袭肺、有害气体刺激、痰饮停肺、气阴亏虚等而致肺失清肃宣降，肺气上逆所致。除肺咳以咳嗽为主症外，几乎所有肺系疾病均可见到咳嗽，它脏疾病亦可影响到肺而伴见咳嗽。,"It refers to the symptom characterized by cough from the throat. It is usually caused by invasion of six exogenous pathogenic factors into the lung, irritation of poisonous air, retention of phlegm fluid in the lung, failure of the lung qi in dispersing and descending due to deficiency of qi and yin, resulting in counterflow of lung qi. Apart from lung cough, it also can be seen in the diseases of lung system, or diseases of other organs involving the lung.",,,TM529400,22.18,GB97,咳嗽,Cough,,
http://who.int/ictm/signsAndSymptoms#TM529403,curled tongue / 舌卷,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a tongue formed into a curved shape and drawn back, inhibiting speech",,,TM529403,2.1.101,IST WPRO,舌卷,curled tongue,,
http://who.int/ictm/signsAndSymptoms#TM529408,deviated tongue / 歪斜舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a tongue that inclines to one side when extended,,,TM529408,2.1.71,IST WPRO,歪斜舌,deviated tongue,,
http://who.int/ictm/signsAndSymptoms#TM529409,diarrhea / 泄[腹]泻,,,false,,,http://www.w3.org/2002/07/owl#Thing,血自肛门排出，包括血随便出,abnormally frequent intestinal evacuations with soft or fluid stool,,,TM529409,2.3.169 and 22.35,IST WPRO and GB 97,泄[腹]泻,diarrhea,,
http://who.int/ictm/signsAndSymptoms#TM529405,darkish complexion / 面黑,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"dark discoloration of the face, often occurring in kidney deficiency, cold pattern/syndrome, water retention or blood stasis",,,TM529405,2.1.16,IST WPRO,面黑,darkish complexion,,
http://who.int/ictm/signsAndSymptoms#TM529407,delirium / 譫妄,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a mental disturbance characterized by confusion, disordered speech and hallucinations",,,TM529407,2.1.9,IST WPRO,譫妄,delirium,,
http://who.int/ictm/signsAndSymptoms#TM529402,curdy fur / 腐苔,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"a tongue coating consisting of coarse granules like bean dregs, easy to wipe off",,,TM529402,2.1.97,IST WPRO,腐苔,curdy fur,,
http://who.int/ictm/signsAndSymptoms#TM529406,deafness / 耳聾,,,false,,,http://www.w3.org/2002/07/owl#Thing,双耳或单耳不闻声音，或客观检查示听力严重障碍的症状,"loss, complete or partial, of the sense of hearing",,,TM529406,2.3.112 AND 22.13,IST WPRO and GB 97,耳聾,deafness,,
http://who.int/ictm/signsAndSymptoms#TM529392,cold sweating / 冷汗,,,false,,,http://www.w3.org/2002/07/owl#Thing,,profuse sweating accompanied by cold body and limbs,,,TM529392,2.3.35,IST WPRO,冷汗,cold sweating,,
http://who.int/ictm/signsAndSymptoms#TM529398,contracture of the nape and neck / 項背拘急,,,false,,,http://www.w3.org/2002/07/owl#Thing,,muscular spasm and rigidity of the nape and back,,,TM529398,2.3.93,IST WPRO,項背拘急,contracture of the nape and neck,,
http://who.int/ictm/signsAndSymptoms#TM529397,contracture of the limbs / 四肢拘急,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"muscular contracture of the limbs with difficulty in bending and stretching, the same as acrocontracture",,,TM529397,2.3.94,IST WPRO,四肢拘急,contracture of the limbs,,
http://who.int/ictm/signsAndSymptoms#TM529395,contracture / 拘急,,,false,,,http://www.w3.org/2002/07/owl#Thing,,abnormal tension of sinews that manifests in inhibited bending and stretching of the limb,,,TM529395,2.3.92,IST WPRO,拘急,contracture,,
http://who.int/ictm/signsAndSymptoms#TM529399,convulsions / 抽搐; 瘛瘲,,,false,,,http://www.w3.org/2002/07/owl#Thing,,"sudden, violent uncontrollable movements of the body caused by contraction of muscles",,,TM529399,2.1.30,IST WPRO,抽搐; 瘛瘲,convulsions,,
http://who.int/ictm/signsAndSymptoms#TM529391,cold pain / 冷痛,,,false,,,http://www.w3.org/2002/07/owl#Thing,,pain accompanied by a cold sensation and relieved by warmth,,,TM529391,2.3.75,IST WPRO,冷痛,cold pain,,
http://who.int/ictm/signsAndSymptoms#TM529394,contracted tongue / 短縮舌,,,false,,,http://www.w3.org/2002/07/owl#Thing,,a tongue that cannot be fully extended from the mouth and appears to be contracted ,,,TM529394,2.1.72,IST WPRO,短縮舌,contracted tongue,,
